店舗区分,店舗名,所在地,地図URL,業種,主な取扱品
大型店,THE SHOP TK,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/5bWkPRdY94sm7K8m8,小売,婦人・紳士衣料
大型店,ikka,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/5bWkPRdY94sm7K8m8,小売,婦人・紳士衣料
大型店,ﾍﾞﾙｰﾅ,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/5bWkPRdY94sm7K8m8,小売,婦人衣料
大型店,ﾊﾆｰｽﾞDｽﾄｱ,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/5bWkPRdY94sm7K8m8,小売,婦人衣料
大型店,ｴｳﾙｷｭｰﾌﾞ,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/5bWkPRdY94sm7K8m8,小売,婦人衣料
大型店,ﾕﾆｸﾛ,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/5bWkPRdY94sm7K8m8,小売,婦人・紳士・子供衣料
大型店,ZARA,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/5bWkPRdY94sm7K8m8,小売,婦人・紳士・子供衣料
大型店,ﾗﾌｨﾈ･ﾌﾟﾘｭｽ,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/5bWkPRdY94sm7K8m8,サービス,リラクゼーション
大型店,ﾐｽﾊﾟﾘ ﾀﾞｲｴｯﾄｾﾝﾀｰ,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/5bWkPRdY94sm7K8m8,サービス,ｴｽﾃ
大型店,HairStudioL.A,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/5bWkPRdY94sm7K8m8,サービス,美容室
大型店,ｱｲﾗｯｼｭｻﾛﾝﾌﾞﾗﾝ,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/5bWkPRdY94sm7K8m8,サービス,まつげエクステ
大型店,ﾀﾘｰｽﾞｺｰﾋｰ,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/5bWkPRdY94sm7K8m8,飲食,カフェ
大型店,ｺﾞﾃﾞｨﾊﾞ,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/5bWkPRdY94sm7K8m8,小売,洋菓子
大型店,ﾗｯｼｭ,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/5bWkPRdY94sm7K8m8,小売,化粧品
大型店,DHC直営店,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/5bWkPRdY94sm7K8m8,小売,化粧品
大型店,Aree,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/5bWkPRdY94sm7K8m8,小売,化粧品
大型店,R.O.U,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/5bWkPRdY94sm7K8m8,小売,バラエティ雑貨
大型店,ｵｰｻﾑｽﾄｱ,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/5bWkPRdY94sm7K8m8,小売,生活・インテリア雑貨
大型店,JINS,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/5bWkPRdY94sm7K8m8,小売,眼鏡
