店舗区分,店舗名,所在地,地図URL,業種,主な取扱品
一般店,元祖あんこう鍋　山翠,水戸市泉町2-2-40,https://goo.gl/maps/E779Ufqngf7Xns9v8,飲食,お食事・各種ご宴会・慶弔料理・お届け料理・産地直送
一般店,壽司・割烹　すしとし,水戸市柵町2-8-8,https://goo.gl/maps/6NoXApHui52LoNAu8,飲食,すし・料理一般
一般店,わさびの花,水戸市宮町1-7 ホテルテラスザガーデン　１Ｆ,https://goo.gl/maps/e3aetLUX7yY57Pr79,飲食,料理・飲物
一般店,しまだ本店,水戸市城南1-4-12,https://goo.gl/maps/4BiwkWU6i13ntPRK9,飲食,料理・飲物
一般店,となりのしまだ鱗,水戸市城南1-7-27,https://goo.gl/maps/aQz2YqYdUDKywsfN8,飲食,料理・飲物
一般店,しまだ別邸　饗,水戸市城南1-6-40,https://goo.gl/maps/SnzGWQGopb1m9S6r9,飲食,料理・飲物
一般店,がんこ屋　赤塚店,水戸市石川3-4135-17,https://goo.gl/maps/VdZ43zg28K2kRM1M6,飲食,新鮮な旬の活魚や活イカが楽しめるお店
一般店,焼き肉和牛食堂　見和店,水戸市見和1-309-4,https://goo.gl/maps/CuEtCNxWifw1WJgP7,飲食,おいしいお肉とサラダバーのお店！食べ放題もおすすめ！
一般店,ビストロ　エンドウ,水戸市南町1-3-18 アパホテル＜水戸駅北＞２階,https://goo.gl/maps/R9bXhvcv87A417UF8,飲食,ローストビーフ・ポークと生パスタが自慢。農家直送野菜が食べ放題のサラダバーも大好評！
一般店,魚旬がんこ家　笠原店,水戸市笠原町1189,https://goo.gl/maps/8euMbrAPX5GjYyo46,飲食,新鮮な旬の活魚や活イカが楽しめるお店
一般店,焼き肉和牛食堂　笠原店,水戸市小吹町2701,https://goo.gl/maps/8ugij81GzzDJxphE6,飲食,茨城が誇るブランド牛「常陸牛」をリーズナブルに！！食べ放題あり！
一般店,薫風　梅み月,水戸市見和1-311-7,https://goo.gl/maps/k7iRvcADeUN6nVHNA,飲食,常陸牛・寿司・鮮魚が楽しめる店
一般店,グルービー水戸店,水戸市米沢町388-6,https://goo.gl/maps/CbtzqLL5GGrh7wUy9,飲食,レストラン（ピラフ・パスタ・ピザ　その他）
一般店,中華料理　四季香,水戸市白梅1-2-28,https://goo.gl/maps/yViUHSwYcsnucjDLA,飲食,中華料理
一般店,よこた,水戸市桜川1-7-13　サンオリエント1Ｆ,https://goo.gl/maps/SkSPcQUgASN6hcNi9,飲食,季節料理・お酒
一般店,とう粋庵,水戸市千波町2755-1,https://goo.gl/maps/DXCJXarFop2Kg8Ws6,飲食,和食膳・モダン懐石コース・ワイン他
大型店,みとのみなと,水戸市宮町1-1-1　プラムストリート,https://goo.gl/maps/iYoV2zS7DEMHHCyH6,飲食,寿司
一般店,蕎麦処　まち庵,水戸市宮町1-1-1　エクセル,https://goo.gl/maps/iYoV2zS7DEMHHCyH6,飲食,蕎麦
一般店,とんかつ和幸,水戸市宮町1-1-1　エクセル,https://goo.gl/maps/iYoV2zS7DEMHHCyH6,飲食,とんかつ
一般店,北のしまだ,水戸市宮町1-1-1　エクセル,https://goo.gl/maps/iYoV2zS7DEMHHCyH6,飲食,和食
大型店,すし三崎丸,水戸市宮町1-1-1　エクセル,https://goo.gl/maps/iYoV2zS7DEMHHCyH6,飲食,寿司
一般店,ミルスタ,水戸市宮町1-1-1　エクセル,https://goo.gl/maps/iYoV2zS7DEMHHCyH6,飲食,ミルクスタンド
一般店,スターバックスコーヒー,水戸市宮町1-1-1　エクセル,https://goo.gl/maps/iYoV2zS7DEMHHCyH6,飲食,カフェ
一般店,エクセルシオールカフェ,水戸市宮町1-1-1　プラムストリート,https://goo.gl/maps/iYoV2zS7DEMHHCyH6,飲食,カフェ
大型店,パパゲーノ,水戸市宮町1-7-31　エクセルみなみ,https://goo.gl/maps/pCT9mnyaPjtbtUqW7,飲食,イタリアンレストラン
大型店,魚沼食堂,水戸市宮町1-7-31　エクセルみなみ,https://goo.gl/maps/pCT9mnyaPjtbtUqW7,飲食,和食
一般店,大香港厨房,水戸市宮町1-7-31　エクセルみなみ,https://goo.gl/maps/pCT9mnyaPjtbtUqW7,飲食,中華料理
一般店,常陸野ブルーイング,水戸市宮町1-7-31　エクセルみなみ,https://goo.gl/maps/pCT9mnyaPjtbtUqW7,飲食,ビール＆カフェ
一般店,築地銀だこ,水戸市宮町1-7-31　エクセルみなみ,https://goo.gl/maps/pCT9mnyaPjtbtUqW7,飲食,たこやき
一般店,サザコーヒー,水戸市宮町1-7-31　エクセルみなみ,https://goo.gl/maps/pCT9mnyaPjtbtUqW7,飲食,カフェ
一般店,貴韓房,水戸市宮町1-7-31　エクセルみなみ,https://goo.gl/maps/pCT9mnyaPjtbtUqW7,飲食,焼肉
一般店,ミスタードーナツ,水戸市宮町1-1-1　プラムストリート,https://goo.gl/maps/iYoV2zS7DEMHHCyH6,飲食,ドーナツ
一般店,サーティワンアイスクリーム,水戸市宮町1-1-1　プラムストリート,https://goo.gl/maps/iYoV2zS7DEMHHCyH6,飲食,アイスクリーム
